-50	2.280054 
-40	2.273547 
-30	2.279440 
-20	2.306159 
-10	2.280902 
0	2.269891 
10	2.628864 
20	2.805362 
30	2.930622 
40	3.040341 
50	3.140106 
60	3.234942 
70	3.315356 
80	3.361869 
90	3.422716 
100	3.469036 
110	3.509826 
120	3.570195 
130	3.599231 
140	3.627998 
150	3.658877 
160	3.679540 
170	3.694323 
180	3.727625 
190	3.739186 
200	3.738640 
210	3.754459 
220	3.783870 
230	3.786298 
240	3.803754 
250	3.813752 
260	3.812977 
270	3.820406 
280	3.814047 
290	3.827884 
300	3.819577 
310	3.837729 
320	3.810545 
330	3.841288 
340	3.848474 
350	3.850352 
360	3.841938 
370	3.851481 
380	3.852908 
390	3.854976 
400	3.877481 
410	3.855457 
420	3.876230 
430	3.871707 
440	3.862472 
450	3.857349 
460	3.871927 
470	3.871563 
480	3.869040 
490	3.864222 
500	3.861763 
510	3.872922 
520	3.860840 
530	3.863930 
540	3.861987 
550	3.873266 
560	3.863709 
570	3.888374 
580	3.881327 
590	3.873797 
600	3.888794 
